restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text
Cha Kee,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cha-kee,"New York, NY, USA",$$,Asian,Selected Restaurants,"Cha Kee | New York, NY, USA | $$ · Asian"
Saga,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/saga,"New York, NY, USA",$$$$,Contemporary,Two Stars,"Reserve a table | Saga | New York, NY, USA | $$$$ · Contemporary"
Lei,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/lei,"New York, NY, USA",$$,Chinese,Selected Restaurants,"Lei | New York, NY, USA | $$ · Chinese"
Bridges,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bridges-1216261,"New York, NY, USA",$$$,Contemporary,One Star,"Bridges | New York, NY, USA | $$$ · Contemporary"
Dim Sum Go Go,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/dim-sum-go-go,"New York, NY, USA",$$,Chinese,bib,"Dim Sum Go Go | New York, NY, USA | $$ · Chinese"
Carne Mare,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/carne-mare,"New York, NY, USA",$$$$,Steakhouse,Selected Restaurants,"Reserve a table | Carne Mare | New York, NY, USA | $$$$ · Steakhouse"
Yamada,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/yamada,"New York, NY, USA",$$$$,Japanese,One Star,"Yamada | New York, NY, USA | $$$$ · Japanese"
La Mercerie,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/la-mercerie,"New York, NY, USA",$$$$,French,Selected Restaurants,"La Mercerie | New York, NY, USA | $$$$ · French"
Le Coucou,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-coucou,"New York, NY, USA",$$$$,French,One Star,"Reserve a table | Le Coucou | New York, NY, USA | $$$$ · French | 11 Howard"
Muku,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/muku,"New York, NY, USA",$$$$,Japanese,One Star,"Reserve a table | Muku | New York, NY, USA | $$$$ · Japanese"
L’abeille à Côté,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-abeille-a-cote,"New York, NY, USA",$$$$,French,Selected Restaurants,"Reserve a table | L’abeille à Côté | New York, NY, USA | $$$$ · French"
L’Abeille,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l%E2%80%99abeille,"New York, NY, USA",$$$$,French,One Star,"Reserve a table | L’Abeille | New York, NY, USA | $$$$ · French"
Nyonya,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nyonya,"New York, NY, USA",$,Malaysian,bib,"Nyonya | New York, NY, USA | $ · Malaysian"
Corima,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/corima,"New York, NY, USA",$$$$,Mexican,One Star,"Reserve a table | Corima | New York, NY, USA | $$$$ · Mexican"
Shabushabu Mayumon,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/shabushabu-mayumon,"New York, NY, USA",$$$$,Japanese,Selected Restaurants,"Shabushabu Mayumon | New York, NY, USA | $$$$ · Japanese"
Thai Diner,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/thai-diner,"New York, NY, USA",$$,Thai,bib,"Reserve a table | Thai Diner | New York, NY, USA | $$ · Thai"
Cervo’s,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cervo-s,"New York, NY, USA",$$$,Spanish,bib,"Reserve a table | Cervo’s | New York, NY, USA | $$$ · Spanish"
Wayan,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/wayan,"New York, NY, USA",$$$,Indonesian,Selected Restaurants,"Reserve a table | Wayan | New York, NY, USA | $$$ · Indonesian"
Potluck Club,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/potluck-club,"New York, NY, USA",$$,Chinese,bib,"Potluck Club | New York, NY, USA | $$ · Chinese"
Altro Paradiso,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-altro-paradiso,"New York, NY, USA",$$$,Italian,Selected Restaurants,"Reserve a table | Altro Paradiso | New York, NY, USA | $$$ · Italian"
Ma•dé,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ma%E2%80%A2de,"New York, NY, USA",$$$,South East Asian,Selected Restaurants,"Reserve a table | Ma•dé | New York, NY, USA | $$$ · South East Asian"
Comal,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/comal-1242778,"New York, NY, USA",$$$,Mexican,Selected Restaurants,"Comal | New York, NY, USA | $$$ · Mexican"
Tolo,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tolo,"New York, NY, USA",$$,Chinese,bib,"Reserve a table | Tolo | New York, NY, USA | $$ · Chinese"
Dirt Candy,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/dirt-candy,"New York, NY, USA",$$$$,Vegetarian,One Star,"Reserve a table | Dirt Candy | New York, NY, USA | $$$$ · Vegetarian"
The River Café,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/the-river-cafe,"Brooklyn, NY, USA",$$$$,Contemporary,Selected Restaurants,"Reserve a table | The River Café | Brooklyn, NY, USA | $$$$ · Contemporary"
Raoul's,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/raoul-s,"New York, NY, USA",$$$$,French,Selected Restaurants,"Reserve a table | Raoul's | New York, NY, USA | $$$$ · French"
Pinch Chinese,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/pinch-chinese,"New York, NY, USA",$$,Chinese,bib,"Reserve a table | Pinch Chinese | New York, NY, USA | $$ · Chinese"
César,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cesar,"New York, NY, USA",$$$$,Contemporary,Two Stars,"Reserve a table | César | New York, NY, USA | $$$$ · Contemporary"
Sushi Ikumi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-ikumi,"New York, NY, USA",$$$$,Japanese,Selected Restaurants,"Sushi Ikumi | New York, NY, USA | $$$$ · Japanese"
Torrisi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/torrisi,"New York, NY, USA",$$$$,Contemporary,One Star,"Reserve a table | Torrisi | New York, NY, USA | $$$$ · Contemporary"
Forsythia,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/forsythia,"New York, NY, USA",$$$$,Italian,Selected Restaurants,"Reserve a table | Forsythia | New York, NY, USA | $$$$ · Italian"
Russ & Daughters Cafe,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/russ-daughters-cafe,"New York, NY, USA",$$,American,bib,"Russ & Daughters Cafe | New York, NY, USA | $$ · American"
The Musket Room,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-musket-room,"New York, NY, USA",$$$$,Contemporary,Selected Restaurants,"The Musket Room | New York, NY, USA | $$$$ · Contemporary"
King,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/king,"New York, NY, USA",$$$,Mediterranean Cuisine,Selected Restaurants,"Reserve a table | King | New York, NY, USA | $$$ · Mediterranean Cuisine"
Estela,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/estela,"New York, NY, USA",$$$$,Contemporary,One Star,"Reserve a table | Estela | New York, NY, USA | $$$$ · Contemporary"
New,https://guide.michelin.com/us/en/california/menlo-park/restaurant/yeobo-darling,"Yeobo, Darling",$$$$,Korean Contemporary,Selected Restaurants,"Reserve a table | New | Yeobo, Darling | Menlo Park, CA, USA | $$$$ · Korean Contemporary"
New,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/corridor-109,Corridor 109,$$$$,Asian Contemporary,Selected Restaurants,"Reserve a table | New | Corridor 109 | Los Angeles, CA, USA | $$$$ · Asian Contemporary"
New,https://guide.michelin.com/us/en/california/san-francisco/restaurant/naides,Naides,$$$$,Filipino,Selected Restaurants,"Reserve a table | New | Naides | San Francisco, CA, USA | $$$$ · Filipino"
New,https://guide.michelin.com/us/en/california/montecito/restaurant/little-mountain,Little Mountain,$$$,Californian,Selected Restaurants,"New | Little Mountain | Montecito, CA, USA | $$$ · Californian"
